S9,GVA09,S1,S6,AREA_TOT,PERIMETER,AREA,MESO_ID,S7,Area_1,covered_area,S6_S8,S3,S4,HH01,POP07,S8,S2
0.0,186.86671,0.09575,4.32834,5.0940241363E7,0.37902434705,0.00446468619,2010_00036,6.09763,,0.0018926745628146742,4.32834,0.13206,0.0,14.84982,881.8796,0.0,176.21293
0.0,0.38543,0.38543,0.0,5.15485447073E7,0.25735843784,0.00451945732,2010_00037,0.0,,0.0,0.0,0.0,0.0,28.02181,37.82462,0.0,0.0
0.0,253.53512,0.06588,0.0,4.56161482068E7,0.2608968157,0.00399831232,2010_00038,0.0,,5.07405883413143E-4,0.0,0.0,0.0,13.20601,669.83907,0.0,253.46924
0.0,0.43247,0.43247,0.0,4.8327289337E7,0.25264704937,0.00423697196,2010_00039,0.0,,0.0,0.0,0.0,0.0,18.46737,5.52717,0.0,0.0
0.0,0.09543,0.09543,0.0,4.61788402394E7,0.25371393566,0.00404779929,2010_00040,0.0,,0.0,0.0,0.0,0.0,14.91634,11.82601,0.0,0.0
0.0,0.10268,0.10268,0.0,4.93005148454E7,0.24337268962,0.00432186427,2010_00041,0.0,,0.0,0.0,0.0,0.0,21.45343,84.7019,0.0,0.0
0.0,0.23934,0.23934,0.0,4.7969184497E7,0.25049419138,0.00420567616,2010_00042,0.0,,0.0,0.0,0.0,0.0,10.21964,17.9889,0.0,0.0
0.0,3.83072,0.12017,0.0,5.46797858476E7,0.26350070188,0.00479366088,2010_00043,0.0,,0.0,0.0,0.0,0.0,15.74874,170.87064,0.0,3.71055
0.0,0.36684,0.36684,0.0,4.97708310982E7,0.25985379033,0.00436370073,2010_00044,0.0,,0.0,0.0,0.0,0.0,18.27927,20.58651,0.0,0.0
0.0,0.07871,0.07871,0.0,5.06044304455E7,0.26262246185,0.00443575706,2010_00045,0.0,,0.0,0.0,0.0,0.0,17.40835,155.65517,0.0,0.0
0.0,0.13457,0.13457,0.0,4.96923205084E7,0.25050426691,0.00435693162,2010_00046,0.0,,0.0,0.0,0.0,0.0,10.58548,27.7543,0.0,0.0
0.0,0.11508,0.11508,0.0,4.97667494982E7,0.24578061333,0.0043632786,2010_00047,0.0,,0.0,0.0,0.0,0.0,14.23511,16.42066,0.0,0.0
0.0,0.52028,0.52028,0.0,5.21935735559E7,0.2836372253,0.00457572265,2010_00048,0.0,,3.958468194658135E-4,0.0,0.0,0.0,18.15059,383.25103,0.0,0.0
221.44586,1405.45207,0.12942,349.16457,5.14885054605E7,0.26780878133,0.00451398885,2010_00049,284.56972,,0.004132075590701091,676.38634,77.35745,17.05014,5102.23491,26898.53632,327.22177,128.51314
0.0,0.34137,0.34137,0.0,4.70662416414E7,0.24919138249,0.00412740885,2010_00050,0.0,,0.0,0.0,0.0,0.0,21.19581,24.32476,0.0,0.0
0.0,0.09069,0.09069,0.0,4.65770459392E7,0.24512994238,0.00408386025,2010_00051,0.0,,0.0,0.0,0.0,0.0,11.07535,28.27301,0.0,0.0
0.0,7.8043,0.13199,0.0,4.83251325913E7,0.26496109557,0.00423710065,2010_00052,0.0,,0.0,0.0,0.0,7.67231,16.90026,329.62271,0.0,0.0
0.0,0.30031,0.30031,0.0,4.7245568578E7,0.24851325409,0.00414325336,2010_00053,0.0,,0.0,0.0,0.0,0.0,25.68271,69.34514,0.0,0.0
0.0,0.15559,0.15559,0.0,5.44935476709E7,0.29100797842,0.00477932854,2010_00054,0.0,,0.0,0.0,0.0,0.0,29.62268,65.1424,0.0,0.0
0.0,0.0,0.0,0.0,4.24715619418E7,0.31092890902,0.00372248015,2010_00055,0.0,,0.0,0.0,0.0,0.0,0.0,27.2766,0.0,0.0
